Username,Repo_Name,Stars,Repo_URL
serverless,serverless,42200,https://github.com/serverless/serverless
localstack,localstack,38800,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,22500,https://github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,21300,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12500,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,12000,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,11900,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,11500,https://github.com/pulumi/pulumi
donnemartin,awesome-aws,10100,https://github.com/donnemartin/awesome-aws
apereo,cas,9300,https://github.com/apereo/cas
mozilla,sops,9200,https://github.com/mozilla/sops
aws,chalice,8700,https://github.com/aws/chalice
aws-amplify,amplify-js,8600,https://github.com/aws-amplify/amplify-js
apex,up,8500,https://github.com/apex/up
aws,serverless-application-model,8400,https://github.com/aws/serverless-application-model
aws,aws-cdk,8300,https://github.com/aws/aws-cdk
google,go-cloud,8200,https://github.com/google/go-cloud
caprover,caprover,8200,https://github.com/caprover/caprover
angristan,openvpn-install,7500,https://github.com/angristan/openvpn-install
aws,aws-sdk-go,7500,https://github.com/aws/aws-sdk-go
boto,boto3,7000,https://github.com/boto/boto3
aws,aws-sdk-js,6900,https://github.com/aws/aws-sdk-js
hashicorp,terraform-provider-aws,6900,https://github.com/hashicorp/terraform-provider-aws
GoogleCloudPlatform,terraformer,6800,https://github.com/GoogleCloudPlatform/terraformer
aws,amazon-sagemaker-examples,6600,https://github.com/aws/amazon-sagemaker-examples
awslabs,aws-shell,6400,https://github.com/awslabs/aws-shell
gruntwork-io,terratest,5900,https://github.com/gruntwork-io/terratest
aws,aws-sam-cli,5900,https://github.com/aws/aws-sam-cli
99designs,aws-vault,5900,https://github.com/99designs/aws-vault
donnemartin,dev-setup,5700,https://github.com/donnemartin/dev-setup
