Username,Repo_Name,Stars,Repo_URL
CyC2018,CS-Notes,147000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,63300,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,46600,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,38100,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,36000,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,23800,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,23400,https://github.com/CMU-Perceptual-Computing-Lab/openpose
youngyangyang04,leetcode-master,22800,https://github.com/youngyangyang04/leetcode-master
huihut,interview,22500,https://github.com/huihut/interview
yuzu-emu,yuzu,19200,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,18100,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,16600,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,15000,https://github.com/ethereum/solidity
microsoft,vcpkg,14900,https://github.com/microsoft/vcpkg
catchorg,Catch2,14600,https://github.com/catchorg/Catch2
gabime,spdlog,13900,https://github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,13500,https://github.com/AnthonyCalandra/modern-cpp-features
Qv2ray,Qv2ray,13200,https://github.com/Qv2ray/Qv2ray
facebook,infer,13000,https://github.com/facebook/infer
doocs,leetcode,12600,https://github.com/doocs/leetcode
CoatiSoftware,Sourcetrail,12400,https://github.com/CoatiSoftware/Sourcetrail
ssloy,tinyrenderer,12100,https://github.com/ssloy/tinyrenderer
google,tink,12100,https://github.com/google/tink
antlr,antlr4,11600,https://github.com/antlr/antlr4
kyleneideck,BackgroundMusic,11000,https://github.com/kyleneideck/BackgroundMusic
SFTtech,openage,10800,https://github.com/SFTtech/openage
OpenRCT2,OpenRCT2,10300,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,10200,https://github.com/compiler-explorer/compiler-explorer
Ciphey,Ciphey,9500,https://github.com/Ciphey/Ciphey
hmemcpy,milewski-ctfp-pdf,9200,https://github.com/hmemcpy/milewski-ctfp-pdf
